State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,,,1819,1846,3
Alaska,Juneau,,,1959,1906,3
Arizona,Phoenix,,,1912,1889,1
Arkansas,Little Rock,,,1836,1821,1
California,Sacramento,,,1850,1854,6
Colorado,Denver,,,1876,1867,1
Connecticut,Hartford,,,1788,1875,3
Delaware,Dover,,,1787,1777,2
Florida,Tallahassee,,,1845,1824,7
Georgia,Atlanta,,,1788,1868,1
Hawaii,Honolulu,,,1959,1845,1
Idaho,Boise,,,1890,1865,1
Illinois,Springfield,,,1818,1837,6
Indiana,Indianapolis,,,1816,1825,1
Iowa,Des Moines,,,1846,1857,1
Kansas,Topeka,,,1861,1856,4
Kentucky,Frankfort,,,1792,1792,15
Louisiana,Baton Rouge,,,1812,1880,2
Maine,Augusta,,,1820,1832,8
Maryland,Annapolis,,,1788,1694,7
Massachusetts,Boston,,,1788,1630,1
Michigan,Lansing,,,1837,1847,5
Minnesota,Saint Paul,,,1858,1849,2
Mississippi,Jackson,,,1817,1821,1
Missouri,Jefferson City,,,1821,1826,15
Montana,Helena,,,1889,1875,6
Nebraska,Lincoln,,,1867,1867,2
Nevada,Carson City,,,1864,1861,6
New Hampshire,Concord,,,1788,1808,3
New Jersey,Trenton,,,1787,1784,10
New Mexico,Santa Fe,,,1912,1610,4
New York,Albany,,,1788,1797,6
North Carolina,Raleigh,,,1789,1792,2
North Dakota,Bismarck,,,1889,1883,2
Ohio,Columbus,,,1803,1816,1
Oklahoma,Oklahoma City,,,1907,1910,1
Oregon,Salem,,,1859,1855,3
Pennsylvania,Harrisburg,,,1787,1812,9
Rhode Island,Providence,,,1790,1900,1
South Carolina,Columbia,,,1788,1786,2
South Dakota,Pierre,,,1889,1889,8
Tennessee,Nashville,,,1796,1826,1
Texas,Austin,,,1845,1839,4
Utah,Salt Lake City,,,1896,1858,1
Vermont,Montpelier,,,1791,1805,6
Virginia,Richmond,,,1788,1780,4
Washington,Olympia,,,1889,1853,24
West Virginia,Charleston,,,1863,1885,1
Wisconsin,Madison,,,1848,1838,2
Wyoming,Cheyenne,,,1890,1869,1
